kelurahan,rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,rainfall_anomaly_z,poverty_rate,unemployment_rate,water_access,electricity_access,population_density,health_access_index,education_index,road_damage_ratio,drainage_quality,building_density,green_space_ratio,flood_count,landslide_count,total_disasters,avg_damage_idr,rainfall_risk,temp_deviation,humidity_risk,flood_freq_norm,climate_score,road_vulnerability,drainage_vulnerability,density_risk,green_deficit,infra_score,infra_index,poverty_vulnerability,unemployment_vulnerability,water_deficit,electricity_deficit,health_deficit,education_deficit,pop_density_risk,sosek_score,slope_index,soil_permeability_inv,health_facility_norm,bpbd_post_proximity,rth_ratio,kerawanan_score,kerentanan_score,kapasitas_score,flood_infra_interaction,cascading_score,n_dimensions_critical,uss_bnpb_raw,uss_linear_norm,ussScore,ussZone,ussLabel
Ancol,143.34621771759447,25.81310721726766,76.25855037418224,1.848737650760773,-0.5289765892824566,0.1046452150589912,0.0119737086366271,0.9571506855236284,0.9012728614956173,30882.90689622632,0.6333734702867708,0.766569265074123,0.0795399081703326,0.7063360475256403,0.7559188617251482,0.4365046305850169,2.0,0.0,10.0,346829116.5441464,0.37075561394829853,0.08131072172676604,0.40646375935455586,0.2857142856734694,0.28606109517577244,0.0795399081703326,0.2936639524743597,0.7559188617251482,0.5634953694149831,0.4231545229462059,0.5768454770537941,1.0,0.17851026421380461,0.042849314476371636,0.09872713850438275,0.3666265297132292,0.23343073492587696,0.5798048592438686,0.357135548725362,0.44888011966031505,0.33446720464028296,0.6333734702867708,0.10251706064373892,0.4365046305850169,0.05566364578438089,0.02484424074866892,0.3907983871718422,0.15688691494991996,0.0013829210168157886,1,0.0034504156231119306,26.12694535781703,70.86092715231787,MERAH,1
Antapani Kidul,89.93385616213479,22.536982697904097,88.94905246025878,1.5996464776063817,-1.0821608820739137,0.0320158267619885,0.0216168910887222,0.9115304112630858,0.989734823955746,22484.450274077688,0.4707372383890547,0.8214997048357788,0.1797050604970441,0.6383184281243338,0.5682500256359724,0.3566061018608966,6.0,2.0,6.0,19917593.415640153,0.25309730764670996,0.24630173020959029,0.7237263115064696,0.8571428570204082,0.5200670515957945,0.1797050604970441,0.3616815718756662,0.5682500256359724,0.6433938981391034,0.43825763903694653,0.5617423609630534,0.3059463994024032,0.3222758342327463,0.08846958873691424,0.010265176044254032,0.5292627616109453,0.17850029516422117,0.39520615256177327,0.2614180296790368,0.3552240499657492,0.4213231577707264,0.4707372383890547,0.5445388728410738,0.3566061018608966,0.03787958543042502,0.010697026013135907,0.4572940710303417,0.11092182849585483,0.0004051989107160604,1,0.0008671175943290549,55.380536612041396,33.77483443708609,HIJAU,0
Antapani Kulon,269.21652285920226,21.62827569764112,76.00828681216741,1.0618283346888444,0.7746444022909412,0.0303485281298287,0.0251805148836617,0.5004370293890739,0.919023063860646,26049.8663884028,0.3585651263917698,0.6867049854467431,0.388566276965553,0.816052279392858,0.6749798097197341,0.4354326272278744,2.0,0.0,8.0,29445064.538996637,0.684524713813412,0.33717243023588817,0.4002071703041853,0.2857142856734694,0.4269046500067387,0.388566276965553,0.18394772060714204,0.6749798097197341,0.5645673727721257,0.45301529501613874,0.5469847049838612,0.2900135291682515,0.3754041877361307,0.49956297061092614,0.08097693613935397,0.6414348736082303,0.3132950145532569,0.4735742662640184,0.38203739686859545,0.48572465435078593,0.3425882328258156,0.3585651263917698,0.46268167953050976,0.4354326272278744,0.11390734310798947,0.06861144923821323,0.4188931443833846,0.3101001651740208,0.007815347889513557,2,0.01822213292951932,56.85664706807025,97.35099337748345,MERAH,1
Antapani Tengah,115.04303463760762,26.82632750430992,85.77256760763484,10.50041090768406,-0.8221086632049445,0.0479997086415772,0.0199556331274489,0.725265636561811,0.9498124917704307,25504.00520606941,0.8019986691417395,0.3906783192276899,0.0846273352675952,0.82818315600057,0.5216808702603234,0.310778683346731,3.0,2.0,5.0,78578614.22231828,0.3053162326438374,0.18263275043099192,0.644314190190871,0.4285714285102041,0.39020865044397607,0.0846273352675952,0.17181684399942998,0.5216808702603234,0.689221316653269,0.3668365915451544,0.6331634084548456,0.4586899517050878,0.2975089381445082,0.274734363438189,0.0501875082295693,0.19800133085826055,0.6093216807723101,0.46157619652094656,0.3357171385241245,0.2491728906884025,0.2641752214696947,0.8019986691417395,0.4868141987710042,0.310778683346731,0.02009753370224818,0.058166859235493217,0.5331971837531582,0.1120011661264727,0.0011690104138392507,2,0.00215209218457671,32.1518286746942,57.615894039735096,KUNING,0
Antapani Wetan,365.54783841007657,24.520466122039178,83.16300759668118,22.289018122089924,1.7723342462674057,0.0135539226572576,0.0158885368223698,0.9197611111661732,0.9904010438017564,6081.400839891957,0.4310546613001058,0.5749049011971806,0.6434052833138456,0.5630089821227521,0.8783987371831019,0.3073097752184185,3.0,0.0,5.0,10864096.851185927,0.8547477172538374,0.04795338779608223,0.5790751899170296,0.4285714285102041,0.4775869308692883,0.6434052833138456,0.4369910178772479,0.8783987371831019,0.6926902247815815,0.6628713157889442,0.3371286842110558,0.12952262222039398,0.23687455509448163,0.0802388888338268,0.00959895619824358,0.5689453386998942,0.42509509880281937,0.03466589529501691,0.21213447930638238,0.6535418848427081,0.7925656095590977,0.4310546613001058,0.060890066092736346,0.3073097752184185,0.4427377969838908,0.0003602740279009703,0.26641816753708686,0.5665877440036476,0.00015950692942338842,2,0.0005770493699622239,76.44826536643156,29.80132450331126,HIJAU,0
Arjuna,83.48510932084173,25.824261349042093,75.84474532444354,1.8014381845361835,-1.1489496432689743,0.0060062294430136,0.0216168910887222,0.8029386191537612,0.884498002071721,23660.423500209978,0.684377848017214,0.4068563612201955,0.1277686636684437,0.6486522948482548,0.8385020944229126,0.1034275024114713,4.0,1.0,8.0,632252805.4052483,0.24068098728888057,0.08242613490420929,0.3961186331110884,0.5714285713469388,0.3226635816627793,0.1277686636684437,0.3513477051517452,0.8385020944229126,0.8965724975885287,0.5535477402079075,0.44645225979209247,0.05739612116643588,0.3222758342327463,0.1970613808462388,0.11550199792827898,0.315622151982786,0.5931436387798046,0.4210541323041815,0.28886503674863884,0.1983733084932746,0.4046871248006295,0.684377848017214,0.4180505385334149,0.1034275024114713,0.01932165878722481,0.004762357560262569,0.40195196298736674,0.13322841662476795,9.201664780215378e-05,2,0.00022336742161603836,43.67443348300394,13.90728476821192,HIJAU,0
Babakan,139.89118786346927,28.78788817865065,79.20315029180966,4.433156400558644,-0.5647598460186916,0.0143394329023799,0.0099202488998248,0.8282750684158955,0.784531111336587,9874.651021378642,0.6054821625377488,0.7814635978269433,0.1293500551476645,0.4702682253020386,0.8093877598654046,0.1055064964164986,1.0,2.0,4.0,10031408.105047803,0.3624468401173005,0.378788817865065,0.4800787572952416,0.1428571428367347,0.34104288952858547,0.1293500551476645,0.5297317746979614,0.8093877598654046,0.8944935035835014,0.590740773323633,0.40925922667636705,0.13702903562572252,0.14789622045398865,0.1717249315841045,0.21546888866341296,0.3945178374622512,0.2185364021730567,0.11804181888762115,0.20045930497859396,0.5822335264109395,0.6903468841685781,0.6054821625377488,0.5851868715992765,0.1055064964164986,0.14568300679780866,0.002777677661472046,0.432058510184508,0.21411212661960125,0.00040466043363835335,1,0.0009154001660763293,42.03591231632689,36.423841059602644,HIJAU,0
Babakan Ciamis,165.2022550914082,25.08614494659736,78.48430149673807,2.612384949049164,2.006916399941558,0.0133518641798549,0.0304670695197501,0.8999979409288934,0.649525178638103,23880.1747415326,0.6447521520033741,0.8095469540998402,0.2821998798435655,0.6626701064085576,0.6666689302620546,0.3754336266656979,7.0,1.0,4.0,7135251256.240565,0.881521345183577,0.008614494659736138,0.46210753741845173,0.9999999998571428,0.5880608442797269,0.2821998798435655,0.3373298935914424,0.6666689302620546,0.6245663733343021,0.47769126925784117,0.5223087307421588,0.1275917314740871,0.45421888863691096,0.1000020590711066,0.350474821361897,0.3552478479966259,0.19045304590015977,0.4258842810761546,0.28626752507384884,0.2760953911538614,0.39962181192585766,0.6447521520033741,0.48012488576358187,0.3754336266656979,0.09726154732467152,0.005434043171519336,0.5001035548108846,0.4210950502586225,0.000528523447091036,2,0.0010361101037356627,75.2639980409215,38.41059602649007,HIJAU,0
Babakan Ciparay,165.2022550914082,24.354342174686256,81.30345163420499,1.0,0.0704826998637597,0.0054650512625747,0.0082647978230636,0.886957461233297,0.9695815725973504,22256.48266011396,0.974490834481022,0.6876527961497247,0.0159337914497912,0.6566780098069911,0.4311313476748801,0.1447491182750342,4.0,2.0,3.0,93829359.2313703,0.5176133839060981,0.06456578253137443,0.5325862908551248,0.5714285713469388,0.421548507159884,0.0159337914497912,0.3433219901930089,0.4311313476748801,0.8552508817249658,0.41140950276066146,0.5885904972393385,0.05222456907842284,0.12321589641455945,0.113042538766703,0.03041842740264955,0.025509165518977972,0.31234720385027526,0.39019540730268293,0.149564744047753,0.30707108048180265,0.5975166724465053,0.974490834481022,0.4301266449656238,0.1447491182750342,0.09497175037508528,0.002303556777239374,0.5164555325738934,0.2129510648950712,0.00021877281922281374,1,0.0004155580209276398,22.33429411356328,21.192052980132452,HIJAU,0
Babakan Surabaya,189.7828242742424,25.85919549786935,71.2822252625538,1.0,-0.0480392068190021,0.0197035192592489,0.0216168910887222,0.8431693127584494,0.9601511781290494,26818.28667574144,0.6995128125096605,0.4976734426569754,0.3025553098306243,0.6389244421861305,0.6482442475247842,0.1258605785999885,4.0,1.0,5.0,1570026601.9773777,0.48799250741275546,0.08591954978693508,0.28205563156384483,0.5714285713469388,0.35684906502761854,0.3025553098306243,0.36107555781386946,0.6482442475247842,0.8741394214000116,0.5465036341423224,0.4534963658576776,0.1882887741034458,0.3222758342327463,0.15683068724155058,0.039848821870950624,0.30048718749033954,0.5023265573430247,0.49046420183347866,0.28578886630221945,0.491662755878344,0.627401587077105,0.6995128125096605,0.40012316587107144,0.1258605785999885,0.1505310455139134,0.014483141971303239,0.4084988523269068,0.26668967873529503,0.002180162503266717,2,0.005209482633332771,47.96598971994379,81.45695364238411,MERAH,1
Babakan Tarogong,156.09992152007038,23.069392581480063,71.53361371715879,4.433156400558644,-0.3968882783936228,0.0428649924681774,0.007893519799393,0.8852826988573463,0.9498124917704307,14403.394536125114,0.8047192178414989,0.3722912915460973,0.0875528691864707,0.5123554270140237,0.4503123088737679,0.091933400389429,5.0,0.0,2.0,218612265.6867707,0.40206019349505323,0.1930607418519937,0.28834034292896965,0.7142857141836735,0.39943674811492247,0.0875528691864707,0.4876445729859763,0.4503123088737679,0.908066599610571,0.4833940876641965,0.5166059123358036,0.4096220973315722,0.1176806908977424,0.11471730114265366,0.0501875082295693,0.1952807821585011,0.6277087084539027,0.21758394112855808,0.24754014704892846,0.6299912673538964,0.5317831696732014,0.8047192178414989,0.40914951890724166,0.091933400389429,0.13469770466364936,0.010224430730876831,0.43526737904605656,0.19435352042063156,0.001377207350941588,1,0.003092989551339074,40.953572496671946,70.19867549668875,MERAH,1
Balonggede,399.2574343671519,25.447665841823575,82.3767790493603,1.0284497079468202,2.121459775578408,0.0101794666686134,0.0446787822169695,0.5657167425208317,0.8905454533246773,15695.359774374903,0.618633275643012,0.7358165682891376,0.2221509190021975,0.7680301678405393,0.4669265939705503,0.3324338341377166,4.0,0.0,5.0,7489866.193433998,0.8929715252543774,0.0447665841823575,0.5594194762340073,0.5714285713469388,0.5171465392544202,0.2221509190021975,0.23196983215946065,0.4669265939705503,0.6675661658622833,0.39715337774862297,0.6028466222513771,0.09727598784975475,0.6660944791912801,0.4342832574791683,0.10945454667532273,0.38136672435698804,0.26418343171086245,0.24598143400006622,0.3140914087519204,0.1682465733358948,0.5973696805723618,0.618633275643012,0.5614100811729816,0.3324338341377166,0.0897484619158056,0.010391567561114876,0.5041590636512367,0.3546466574881157,0.0009326272055042393,2,0.001813888485950832,54.867936166280074,55.62913907284768,KUNING,0
Batununggal,377.2184205219637,24.761481154572184,78.48430149673807,13.12748146581314,1.8932048186221868,0.0182391723218566,0.0095458378226755,0.8896125497944035,0.9724702108335382,16541.068666676645,0.7990573272941285,0.7100314055654361,0.152292841121347,0.7051974239790044,0.4124841019437281,0.3271349314605195,4.0,1.0,8.0,42919505.650015175,0.8691205102820175,0.023851884542781577,0.46210753741845173,0.5714285713469388,0.4816271258975474,0.152292841121347,0.2948025760209956,0.4124841019437281,0.6728650685394806,0.3831111469063878,0.6168888530936122,0.17429533028886898,0.14231430574946283,0.11038745020559648,0.02752978916646176,0.20094267270587152,0.2899685944345639,0.2645701789054973,0.1728583316366175,0.44603587916476783,0.6052898700190453,0.7990573272941285,0.46554212168475,0.3271349314605195,0.23464602389846584,0.005090334764527281,0.5305781268131327,0.33296975549400876,0.0011944268128084598,1,0.0022095359644866835,30.636810093286993,58.94039735099338,KUNING,0
Braga,161.2447363961056,23.071297163947264,88.2213191663074,1.5584945398648635,-0.3436041565937023,0.0152579462813754,0.0618448319076229,0.7195680278754676,0.8320836519203952,11785.52670104226,0.5750998284246671,0.7124363814309673,0.1863985723509345,0.1382328686419305,0.4314944014910685,0.2224827438347116,4.0,1.0,6.0,124119109.12633702,0.4149342508596511,0.19287028360527358,0.7055329791576849,0.5714285713469388,0.47119152124238706,0.1863985723509345,0.8617671313580695,0.4314944014910685,0.7775172561652884,0.5642943403413402,0.4357056596586598,0.14580644010119434,0.9220148593157986,0.2804319721245324,0.16791634807960476,0.4249001715753329,0.2875636185690327,0.16004300969759744,0.34123948849472757,0.38023307065636097,0.6453937028764111,0.5750998284246671,0.33149314694960635,0.2224827438347116,0.10182487737121897,0.006543964621753151,0.3763585730696617,0.23414504937387498,0.0006663383951316099,3,0.001724663153809368,75.59154961448836,54.3046357615894,KUNING,0
Buah Batu,203.1063974899197,23.513998130682335,61.46046319968099,4.626199048911043,0.0899511611806738,0.0239662991728127,0.0109195923473727,0.8510656157182922,0.9498124917704307,4950.099885034527,0.5862654940722986,0.6358881097970439,0.1851029330337154,0.4820733053044775,0.385863099515874,0.276930197208092,1.0,1.0,8.0,46599707.82437918,0.5224726397649024,0.1486001869317665,0.03651157999202468,0.1428571428367347,0.21261038738135707,0.1851029330337154,0.5179266946955225,0.385863099515874,0.723069802791908,0.452990632509255,0.547009367490745,0.22902431954774313,0.16279495135482358,0.1489343842817078,0.0501875082295693,0.41373450592770145,0.3641118902029561,0.009799815426943118,0.19694105356734923,0.21262635973725816,0.32395250925236657,0.5862654940722986,0.3074022576744612,0.276930197208092,0.03598835575131549,0.0003342677452579202,0.3901993163182839,0.23667521155588328,1.2029746532532133e-05,0,3.005938801495781e-05,0.0,3.9735099337748347,HIJAU,0
Burangrang,69.64144593439104,26.426752258488644,78.16803073306207,12.851953950608957,-1.2923265117889156,0.0228623619490626,0.0392179880361965,0.8803894137592139,0.9762482995046768,13826.94097657868,0.5260712162248392,0.8333686657026937,0.4365609916533659,0.4449967869260176,0.6495615145681032,0.391031981724546,0.0,0.0,8.0,220851787.1551194,0.21545928489134575,0.14267522584886444,0.4542007683265517,0.0,0.2030838197666905,0.4365609916533659,0.5550032130739824,0.6495615145681032,0.608968018275454,0.5625234343927263,0.43747656560727366,0.2184749865168178,0.5846821247061295,0.11961058624078613,0.023751700495323158,0.4739287837751608,0.16663133429730626,0.20491344863903,0.25599899495293627,0.45421111077657506,0.31895533799914716,0.5260712162248392,0.2604381521131636,0.391031981724546,0.0312142455544209,0.0053547820959799815,0.39251378335418297,0.12120089690888067,0.00016714548323433577,1,0.0004152540612187182,21.73513872914859,20.52980132450331,HIJAU,0
Campaka,217.19987499362475,24.663748278772644,78.19608139407154,4.433156400558644,0.2359153192672673,0.0137044959877418,0.0419847510163608,0.7214796255821104,0.8991150616879635,16541.068666676645,0.7393763548700588,0.5918301658811128,0.4220781732681007,0.365720862502127,0.7879591284580527,0.3139658585095765,6.0,1.0,3.0,147329705.9105959,0.5587067997294558,0.033625172122735594,0.45490203485178854,0.8571428570204082,0.476094215931097,0.4220781732681007,0.634279137497873,0.7879591284580527,0.6860341414904235,0.6325876451786124,0.36741235482138757,0.1309615158229282,0.6259304635119775,0.27852037441788957,0.10088493831203649,0.2606236451299412,0.4081698341188872,0.2645701789054973,0.2956658500313082,0.2181801985121444,0.8655936589978399,0.7393763548700588,0.2820404344960507,0.3139658585095765,0.10551479410690635,0.00965031644363155,0.44512754929189535,0.3534310187861351,0.001018251152616276,3,0.0022372874465641764,81.38651717711129,59.60264900662252,KUNING,0
Caringin,273.40419067936546,24.62856003819093,79.46673604590681,5.947298800901621,0.8180154870750727,0.0431508485087971,0.0320685333083519,0.7814795147053756,0.977387637831547,19668.564858492977,0.9472531371350624,0.3266149098468923,0.1858264858537202,0.8648289751363047,0.5644564553299274,0.3128999280154056,1.0,0.0,7.0,53911219.280330606,0.6938149207919576,0.037143996180907024,0.48666840114767035,0.1428571428367347,0.34012111523931743,0.1858264858537202,0.13517102486369525,0.5644564553299274,0.6871000719845943,0.3931385095079843,0.6068614904920158,0.4123537658599283,0.47809434215827523,0.21852048529462442,0.02261236216845297,0.05274686286493757,0.6733850901531078,0.3333127798543334,0.31300366976480853,0.40385225186793444,0.19193791005115213,0.9472531371350624,0.3341621019569494,0.3128999280154056,0.05378075635907305,0.030034062981947305,0.5314383890358059,0.27276536383455036,0.001615254623705163,1,0.0029832657905576486,25.33638256184329,68.21192052980133,KUNING,0
