kelurahan,rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,rainfall_anomaly_z,poverty_rate,unemployment_rate,water_access,electricity_access,population_density,health_access_index,education_index,road_damage_ratio,drainage_quality,building_density,green_space_ratio,flood_count,landslide_count,total_disasters,avg_damage_idr,rainfall_anomaly_z_norm,road_damage_ratio_norm,poverty_rate_norm,flood_count_norm,population_density_norm,uss_proxy,uss_zone,ussLabel
Ancol,143.34621771759447,25.81310721726766,76.25855037418224,1.848737650760773,-0.5289765892824566,0.1046452150589912,0.0119737086366271,0.9571506855236284,0.9012728614956173,30882.90689622632,0.6333734702867708,0.766569265074123,0.0795399081703326,0.7063360475256403,0.7559188617251482,0.4365046305850169,2.0,0.0,10.0,346829116.5441464,0.16342694305380545,0.0995952071271114,0.9999999903234078,0.2857142856734694,0.5798048592438686,42.570825708433254,🟡 KUNING,0
Antapani Kidul,89.93385616213479,22.536982697904097,88.94905246025878,1.5996464776063817,-1.0821608820739137,0.0320158267619885,0.0216168910887222,0.9115304112630858,0.989734823955746,22484.450274077688,0.4707372383890547,0.8214997048357788,0.1797050604970441,0.6383184281243338,0.5682500256359724,0.3566061018608966,6.0,2.0,6.0,19917593.415640153,0.0699146488899244,0.23409330347339471,0.29719502071576837,0.8571428570204082,0.39520615256177327,37.071039653225384,🟢 HIJAU,0
Antapani Kulon,269.21652285920226,21.62827569764112,76.00828681216741,1.0618283346888444,0.7746444022909412,0.0303485281298287,0.0251805148836617,0.5004370293890739,0.919023063860646,26049.8663884028,0.3585651263917698,0.6867049854467431,0.388566276965553,0.816052279392858,0.6749798097197341,0.4354326272278744,2.0,0.0,8.0,29445064.538996637,0.3837957988415786,0.5145444919661434,0.28106125183821495,0.2857142856734694,0.4735742662640184,38.77380189166849,🟢 HIJAU,0
Antapani Tengah,115.04303463760762,26.82632750430992,85.77256760763484,10.50041090768406,-0.8221086632049445,0.0479997086415772,0.0199556331274489,0.725265636561811,0.9498124917704307,25504.00520606941,0.8019986691417395,0.3906783192276899,0.0846273352675952,0.82818315600057,0.5216808702603234,0.310778683346731,3.0,2.0,5.0,78578614.22231828,0.11387482618659361,0.10642641782252851,0.4518645268481783,0.4285714285102041,0.46157619652094656,31.24626791776902,🟢 HIJAU,0
Antapani Wetan,365.54783841007657,24.520466122039178,83.16300759668118,22.289018122089924,1.7723342462674057,0.0135539226572576,0.0158885368223698,0.9197611111661732,0.9904010438017564,6081.400839891957,0.4310546613001058,0.5749049011971806,0.6434052833138456,0.5630089821227521,0.8783987371831019,0.3073097752184185,3.0,0.0,5.0,10864096.851185927,0.5524489355809747,0.8567329720158402,0.11854670413948772,0.4285714285102041,0.03466589529501691,39.81931871083047,🟡 KUNING,0
Arjuna,83.48510932084173,25.824261349042093,75.84474532444354,1.8014381845361835,-1.1489496432689743,0.0060062294430136,0.0216168910887222,0.8029386191537612,0.884498002071721,23660.423500209978,0.684377848017214,0.4068563612201955,0.1277686636684437,0.6486522948482548,0.8385020944229126,0.1034275024114713,4.0,1.0,8.0,632252805.4052483,0.05862443265439544,0.16435501283766943,0.045510755132831246,0.5714285713469388,0.4210541323041815,25.219458085520323,🟢 HIJAU,0
Babakan,139.89118786346927,28.78788817865065,79.20315029180966,4.433156400558644,-0.5647598460186916,0.0143394329023799,0.0099202488998248,0.8282750684158955,0.784531111336587,9874.651021378642,0.6054821625377488,0.7814635978269433,0.1293500551476645,0.4702682253020386,0.8093877598654046,0.1055064964164986,1.0,2.0,4.0,10031408.105047803,0.15737801058470888,0.166478447371465,0.1261477664214958,0.1428571428367347,0.11804181888762115,14.218063722040512,🟢 HIJAU,0
Babakan Ciamis,165.2022550914082,25.08614494659736,78.48430149673807,2.612384949049164,2.006916399941558,0.0133518641798549,0.0304670695197501,0.8999979409288934,0.649525178638103,23880.1747415326,0.6447521520033741,0.8095469540998402,0.2821998798435655,0.6626701064085576,0.6666689302620546,0.3754336266656979,7.0,1.0,4.0,7135251256.240565,0.5921035599906447,0.3717195913314638,0.11659146666055893,0.9999999998571428,0.4258842810761546,50.125977978319305,🟡 KUNING,0
Babakan Ciparay,165.2022550914082,24.354342174686256,81.30345163420499,1.0,0.0704826998637597,0.0054650512625747,0.0082647978230636,0.886957461233297,0.9695815725973504,22256.48266011396,0.974490834481022,0.6876527961497247,0.0159337914497912,0.6566780098069911,0.4311313476748801,0.1447491182750342,4.0,2.0,3.0,93829359.2313703,0.264761731688241,0.014187244216132577,0.040273994593139704,0.5714285713469388,0.39019540730268293,25.6169389829427,🟢 HIJAU,0
Babakan Surabaya,189.7828242742424,25.85919549786935,71.2822252625538,1.0,-0.0480392068190021,0.0197035192592489,0.0216168910887222,0.8431693127584494,0.9601511781290494,26818.28667574144,0.6995128125096605,0.4976734426569754,0.3025553098306243,0.6389244421861305,0.6482442475247842,0.1258605785999885,4.0,1.0,5.0,1570026601.9773777,0.24472635550889474,0.3990521168652903,0.1780538424247223,0.5714285713469388,0.49046420183347866,37.6745017595865,🟢 HIJAU,0
Babakan Tarogong,156.09992152007038,23.069392581480063,71.53361371715879,4.433156400558644,-0.3968882783936228,0.0428649924681774,0.007893519799393,0.8852826988573463,0.9498124917704307,14403.394536125114,0.8047192178414989,0.3722912915460973,0.0875528691864707,0.5123554270140237,0.4503123088737679,0.091933400389429,5.0,0.0,2.0,218612265.6867707,0.1857556337711742,0.11035471757294289,0.4021779725647653,0.7142857141836735,0.21758394112855808,32.60315958442228,🟢 HIJAU,0
Balonggede,399.2574343671519,25.447665841823575,82.3767790493603,1.0284497079468202,2.121459775578408,0.0101794666686134,0.0446787822169695,0.5657167425208317,0.8905454533246773,15695.359774374903,0.618633275643012,0.7358165682891376,0.2221509190021975,0.7680301678405393,0.4669265939705503,0.3324338341377166,4.0,0.0,5.0,7489866.193433998,0.6114663907446173,0.2910880469956328,0.08589346976494906,0.5714285713469388,0.24598143400006622,36.11715825704408,🟢 HIJAU,0
Batununggal,377.2184205219637,24.761481154572184,78.48430149673807,13.12748146581314,1.8932048186221868,0.0182391723218566,0.0095458378226755,0.8896125497944035,0.9724702108335382,16541.068666676645,0.7990573272941285,0.7100314055654361,0.152292841121347,0.7051974239790044,0.4124841019437281,0.3271349314605195,4.0,1.0,8.0,42919505.650015175,0.5728813387874374,0.19728517971961332,0.1638839543262498,0.5714285713469388,0.2645701789054973,35.40098446171473,🟢 HIJAU,0
Braga,161.2447363961056,23.071297163947264,88.2213191663074,1.5584945398648635,-0.3436041565937023,0.0152579462813754,0.0618448319076229,0.7195680278754676,0.8320836519203952,11785.52670104226,0.5750998284246671,0.7124363814309673,0.1863985723509345,0.1382328686419305,0.4314944014910685,0.2224827438347116,4.0,1.0,6.0,124119109.12633702,0.19476297641800647,0.2430811059307116,0.13503584578641292,0.5714285713469388,0.16004300969759744,26.087030183593345,🟢 HIJAU,0
Buah Batu,203.1063974899197,23.513998130682335,61.46046319968099,4.626199048911043,0.0899511611806738,0.0239662991728127,0.0109195923473727,0.8510656157182922,0.9498124917704307,4950.099885034527,0.5862654940722986,0.6358881097970439,0.1851029330337154,0.4820733053044775,0.385863099515874,0.276930197208092,1.0,1.0,8.0,46599707.82437918,0.26805275152613023,0.2413413689296738,0.2193030251294581,0.1428571428367347,0.009799815426943118,17.627082076978798,🟢 HIJAU,0
Burangrang,69.64144593439104,26.426752258488644,78.16803073306207,12.851953950608957,-1.2923265117889156,0.0228623619490626,0.0392179880361965,0.8803894137592139,0.9762482995046768,13826.94097657868,0.5260712162248392,0.8333686657026937,0.4365609916533659,0.4449967869260176,0.6495615145681032,0.391031981724546,0.0,0.0,8.0,220851787.1551194,0.03438748290718472,0.5789900362522314,0.20862067484153132,0.0,0.20491344863903,20.538232852799553,🟢 HIJAU,0
Campaka,217.19987499362475,24.663748278772644,78.19608139407154,4.433156400558644,0.2359153192672673,0.0137044959877418,0.0419847510163608,0.7214796255821104,0.8991150616879635,16541.068666676645,0.7393763548700588,0.5918301658811128,0.4220781732681007,0.365720862502127,0.7879591284580527,0.3139658585095765,6.0,1.0,3.0,147329705.9105959,0.29272706615552707,0.559543038396195,0.12000374084922738,0.8571428570204082,0.2645701789054973,41.87973762653711,🟡 KUNING,0
Caringin,273.40419067936546,24.62856003819093,79.46673604590681,5.947298800901621,0.8180154870750727,0.0431508485087971,0.0320685333083519,0.7814795147053756,0.977387637831547,19668.564858492977,0.9472531371350624,0.3266149098468923,0.1858264858537202,0.8648289751363047,0.5644564553299274,0.3128999280154056,1.0,0.0,7.0,53911219.280330606,0.3911274054894725,0.2423129291443402,0.404944084887209,0.1428571428367347,0.3333127798543334,30.291086844241793,🟢 HIJAU,0
Cibadak,217.1737670159408,20.765469614816503,89.60914886236033,1.6519339636366432,0.2356449226259144,0.0210620137836084,0.0091945463791821,0.8521131291762583,0.9877270883454596,6366.42718483899,0.8173536880173121,0.4704622379736147,0.3737010222714217,0.4562705045625924,0.7757668272231535,0.2624734884517043,1.0,1.0,5.0,32589375.579571236,0.2926813573192556,0.4945839726475886,0.19119943989279328,0.1428571428367347,0.04093079574217622,23.24505416877097,🟢 HIJAU,0
Cibaduyut,229.70507771761984,28.766066749312532,78.5927582433582,13.48082626051207,0.3654299395467728,0.0232762893445169,0.0308172275825349,0.7957613141681626,0.9637188228048869,29688.656274739904,0.6802257554878302,0.785902946512765,0.0406293571739403,0.7947000888449729,0.8489140312496816,0.408853675274997,2.0,0.0,4.0,113203115.75388074,0.31462069080814575,0.04734754498878778,0.21262608143248884,0.2857142856734694,0.5535551409802432,28.277274877662695,🟢 HIJAU,0
