kelurahan,flood_count,landslide_count,total_disasters,avg_damage_idr
Cihapit,3.0,0.0,5.0,11175721.36583069
Citarum,2.0,0.0,7.0,278885930.6298311
Merdeka,1.0,1.0,2.0,
Babakan Ciamis,7.0,1.0,4.0,7135251256.240565
Braga,4.0,1.0,6.0,124119109.12633702
Kebon Pisang,7.0,0.0,9.0,353115660.4371988
Balonggede,4.0,0.0,,7489866.193433998
Regol,2.0,,4.0,
Ancol,2.0,0.0,10.0,346829116.5441464
Cigereleng,4.0,1.0,4.0,52383375.24176682
Ciseureuh,2.0,1.0,4.0,692467040.8367249
Pasirluyu,5.0,0.0,4.0,73904618.82882673
Pungkur,4.0,1.0,7.0,54459192.92339081
Burangrang,0.0,0.0,8.0,220851787.1551194
Turangga,0.0,1.0,6.0,21965162.868058767
Lingkar Selatan,4.0,1.0,6.0,501160589.99511456
Cijagra,2.0,2.0,3.0,22209157.951333705
Maleer,2.0,1.0,5.0,
Samoja,5.0,2.0,6.0,27659099.21660962
Cikawao,3.0,1.0,2.0,338234519.0776343
Batununggal,4.0,1.0,8.0,42919505.650015175
Mengger,0.0,5.0,,14332013.845324432
Wates,2.0,1.0,4.0,43639794.07062073
Kujangsari,3.0,1.0,4.0,103174928.8481046
Kebonwaru,3.0,3.0,2.0,
Kacapiring,2.0,0.0,5.0,19239544.657053847
Kebon Jayanti,3.0,1.0,5.0,2569416073.157037
Cicadas,2.0,1.0,4.0,29774172.893952534
Sukamaju,2.0,1.0,2.0,
Cikutra,4.0,2.0,4.0,62404284.87190202
Sukapada,4.0,0.0,4.0,57538496.62928826
Cigending,1.0,0.0,1.0,274928084.343797
Pasirendah,4.0,1.0,8.0,448856782.86647326
Cipaganti,1.0,2.0,4.0,68412653.1257016
Lebak Siliwangi,5.0,1.0,10.0,16941597.90567898
Tamansari,1.0,0.0,6.0,732270355.4425521
Babakan Ciparay,4.0,2.0,3.0,93829359.2313703
Margahayu Utara,,2.0,6.0,1450947636.440376
Margasuka,2.0,0.0,4.0,3728889.9755812227
Cirangrang,2.0,0.0,3.0,145124830.77602607
Sukahaji,1.0,2.0,2.0,1924456641.7463725
Pasteur,2.0,0.0,3.0,63726038.00052819
Cipedes,1.0,0.0,5.0,77188409.29042912
Sukabungah,3.0,3.0,3.0,168638434.02773833
Sukawarna,1.0,0.0,4.0,46819309.48713546
Gegerkalong,1.0,2.0,3.0,67787752.9691491
Isola,2.0,,6.0,65220041.1138823
Sukarasa,5.0,0.0,5.0,42239607.21198857
Sarijadi,6.0,0.0,5.0,683874394.7384593
Ledeng,2.0,0.0,4.0,216178939.96230885
Ciwaruga,3.0,0.0,4.0,157658577.0553803
Hegarmanah,5.0,1.0,6.0,364069925.5588356
Dago,5.0,1.0,,72817454.94784507
Sekeloa,,0.0,6.0,33892159.84081595
Lebak Gede,3.0,1.0,4.0,43840278.05494758
Sadang Serang,3.0,0.0,5.0,108544909.92417763
Coblong,1.0,3.0,5.0,22102083.486258496
Cipaganti Kulon,1.0,0.0,4.0,51116018.26933485
Neglasari,0.0,1.0,5.0,49914646.62502274
