kelurahan,poverty_rate,unemployment_rate,water_access,electricity_access,population_density,health_access_index,education_index
Cihapit,0.05192140617064602,0.00810976075597365,0.887001647560464,0.9139145583536771,,0.6331599171188946,0.8045944357891417
Citarum,,0.031063179308903545,0.8785833123222972,0.9444596122816691,11274.423951541441,0.502729406803123,0.9019343007570141
Merdeka,0.09561692786369294,0.06585991137602869,0.80519771966921,0.9860748823026753,28959.05219984027,0.777536709650859,0.8025632129891291
Babakan Ciamis,0.013351864179854943,0.030467069519750117,0.8999979409288934,0.649525178638103,23880.1747415326,0.6447521520033741,0.8095469540998402
Braga,0.015257946281375407,0.061844831907622924,0.7195680278754676,0.8320836519203952,11785.52670104226,0.5750998284246671,0.7124363814309673
Kebon Pisang,0.019499429208468526,0.018068025345923458,0.8438601172524413,0.7532678186280366,47385.96416885044,0.47540675878952443,0.4461657505008098
Balonggede,0.01017946666861347,0.044678782216969554,0.5657167425208317,0.8905454533246773,15695.359774374905,0.618633275643012,0.7358165682891376
Regol,0.01157186166398837,0.0525287581457709,0.8622644653091959,0.9513322194428377,33117.1170660178,0.8346896409148933,0.5522096148910587
Ancol,0.10464521505899123,0.011973708636627186,0.9571506855236285,0.9012728614956171,30882.90689622632,0.6333734702867708,0.766569265074123
Cigereleng,0.06124428711936238,0.01796186179774861,0.8478961524450892,0.9887134981122955,17133.464031828153,0.3884836618108588,0.4052329829017932
Ciseureuh,0.010035876009250915,0.05737387634415726,0.8278075810030788,0.9750230563749288,20966.4434706241,0.5766694717918928,0.4472862223188508
Pasirluyu,0.050980774832660135,0.0174353953461047,0.729309958962761,0.8050956397965124,19427.460795117036,0.590830775663059,0.6777873830117345
Pungkur,0.027477743107272686,0.04061639552335693,0.6369609137099312,0.9505581885658867,6724.031244056201,0.6198600589320518,0.6448595593391448
Burangrang,0.02286236194906261,0.03921798803619658,0.8803894137592139,0.9762482995046768,13826.94097657868,0.5260712162248392,0.8333686657026937
Turangga,0.02465995187084573,0.009093461954606693,0.8017338964110523,0.9116780450144693,25451.96782905155,0.554586198909979,0.8163923651936238
Lingkar Selatan,0.05471615679998394,0.03950784723347835,0.8937630397619633,0.9614835778628608,33379.98642105787,0.33106668822235347,0.7021694063749233
Cijagra,0.02462829812042963,0.030620878504914392,0.7923741869487971,0.9203623419340843,8669.931742453222,0.6643380027073428,0.6028562639064373
Maleer,,0.0120165087046566,0.6049458070184485,0.9770653631081962,18348.420639524156,,0.6980973242985434
Samoja,0.00903979471752061,0.011950594551997994,0.6202621602117011,0.9916586836116446,14625.50392572858,,0.5906483503620485
Cikawao,0.012913142445670791,0.05011824147347887,0.8536572316449098,0.8754412957428923,12447.506008841689,0.7692091516144196,0.7844241381451035
Batununggal,0.0182391723218566,0.009545837822675537,0.8896125497944035,0.9724702108335382,16541.068666676645,0.7990573272941285,0.7100314055654361
Mengger,0.05682095834992289,0.03027276847238459,0.6799604982164176,0.9895579936324338,15226.588869834499,0.6159958458978361,0.8252882494115141
Wates,0.09740150827306553,0.025807126490266175,0.8350430783589915,0.9489009497734178,18487.39710449076,0.8587339353691374,0.7333207228956464
Kujangsari,0.03230914734112052,0.042790109624031056,0.6822578032594154,0.9862556079913241,31730.386219681754,0.8051934485991968,
Kebonwaru,0.029963197120911722,,0.7294315218040169,0.9999983014331657,21385.67436218185,0.6488304940507358,0.540598945502741
Kacapiring,0.016698802226589225,0.01672350998550086,0.8166866264614194,0.7969370924889282,16096.461678920223,0.4667429732034171,0.8630352985614103
Kebon Jayanti,0.08590946818708119,0.012735989339778472,0.46534072522459374,0.9314518494843859,40895.488654198016,0.5870999214163819,0.710113593423355
Cicadas,0.008933262813905036,0.049556298065803445,0.6888039036571698,0.8666067836855262,26002.754599548407,0.5051172278145287,0.7447819407903097
Sukamaju,,0.05325587165409771,0.7651837797317913,0.9733902969808034,12639.232385202677,0.7186380929543784,0.8759390912699687
Cikutra,0.05454716872024693,0.02644021790805645,0.9590883417871451,,6436.41996576476,0.5314576879557036,0.7184561213306181
Sukapada,0.0163940776519406,0.021023463896226738,0.9138862512586201,0.9739301680795689,7385.7045366259745,0.44395360660696187,0.8334603748257711
Cigending,0.02477809296964933,0.0073470809261628345,,0.9697740866013047,23387.090685076386,0.6297188377556853,0.5674342706214864
Pasirendah,0.016406339201517607,0.0441603931544096,0.9238237589864977,0.8933091047189098,9152.77611178587,0.7291198362798396,
Cipaganti,0.04283562578035535,0.05513714555313907,0.8762905050040852,0.9953253729236754,7296.621514186857,0.3159853462839874,0.7335049304961919
Lebak Siliwangi,0.04439083872904059,0.008661886928207829,0.7378198817971674,0.8447429789666866,8477.312903536933,0.3910327421544305,0.5321165833426259
Tamansari,0.014649878277769632,0.010429312228230155,0.951298788983961,0.8148610603036063,8844.662181863067,0.5813122292299769,0.8830009026185897
Babakan Ciparay,0.005465051262574766,0.00826479782306363,0.886957461233297,0.9695815725973503,22256.482660113958,0.9744908344810219,0.6876527961497247
Margahayu Utara,,0.01812726293129712,0.6616589667678731,0.8318312305127403,12160.578817742864,,0.8061870945682565
Margasuka,0.01641532488841984,0.023653835544958954,0.9046232570043106,0.9528944166809235,5863.929610455161,0.6742518626492837,0.6687975245850907
Cirangrang,0.028723118998842338,0.02067362828853326,0.8670374325741622,0.7552587448843773,13610.90976379733,0.7260642218420814,0.9482212187975929
Sukahaji,0.04855428426900739,0.006853084221316093,0.9396676221077973,0.9069458981686939,,0.5822302367175195,0.8176214707094294
Pasteur,0.03198569859854254,0.05207324567907619,0.7774333996419469,0.9183384820817617,10020.59629287834,0.581327201695886,0.3372532942296657
Cipedes,0.021278589157711934,0.012227297290342143,0.7746424300315995,0.9727060027543606,26729.712423705347,,0.7949654332403979
Sukabungah,0.03849252014661844,0.02149739108500521,0.8074233332873771,0.9604519582599014,10377.929519681104,0.7734919890456947,0.6044790781426936
Sukawarna,0.04690676289406839,0.013779964503462541,0.7760544912682011,0.8751475651439308,25977.930041731448,0.6460651956136404,0.6521835952868391
Gegerkalong,0.02680051859699359,,0.8052328965429716,0.8420343670460289,19111.961370852016,0.5417606081488174,0.43180263037648914
Isola,0.005708228936889853,0.010275149363205059,0.7794034361997468,0.9694009257950158,23294.28440200346,0.7194765298961313,0.2832030313236455
