kelurahan,road_damage_ratio,drainage_quality,building_density,green_space_ratio
Cihapit,0.5983005759076374,0.44373973431549785,0.6898117028291605,0.27536480604323643
Citarum,0.22163994634419504,0.5236831549116618,0.6300689617875413,0.17272744243340477
Merdeka,0.1738466427539339,0.8637786243202628,0.44500846541640765,
Babakan Ciamis,0.2821998798435655,0.6626701064085576,0.6666689302620546,0.37543362666569796
Braga,0.1863985723509345,0.13823286864193057,0.4314944014910685,0.22248274383471162
Kebon Pisang,0.08048799111016375,0.6384160614219225,0.7101634290002629,0.32492093284028467
Balonggede,0.22215091900219755,0.7680301678405393,0.4669265939705503,0.3324338341377166
Regol,,,,0.21064098902197503
Ancol,0.07953990817033263,0.7063360475256403,0.7559188617251482,0.4365046305850169
Cigereleng,0.36081494259459335,0.5618446814765433,0.6534937170453181,0.0880666351703106
Ciseureuh,0.18806662822322226,0.8969182605881313,0.8650446125204999,0.3689321710949114
Pasirluyu,0.396148132078496,0.40397805940318,0.2059678751106862,
Pungkur,0.2841761625924747,0.5940318308276978,0.8106162942632176,0.2253845282758386
Burangrang,0.4365609916533659,0.44499678692601763,0.6495615145681032,0.391031981724546
Turangga,0.14190926688076597,0.833138925132121,0.7538293370950705,0.19742162066711932
Lingkar Selatan,,0.4985039973711558,0.8282447472669777,0.1593374842092903
Cijagra,0.10939522362794184,0.8225576376959074,0.5997336608565674,0.13974116022269578
Maleer,0.15094659543979538,0.30239757303327486,0.8816167552527262,0.26956233104217886
Samoja,0.19977115884535762,0.5835490081904902,0.48096193448894586,0.11649136075844264
Cikawao,0.32373719499724907,,0.5962717697591026,0.31685378424815575
Batununggal,0.15229284112134703,0.7051974239790044,0.41248410194372814,0.3271349314605195
Mengger,0.27150653100697675,0.8217267190699906,,0.10498871341408651
Wates,0.4850993016333455,0.6189190364787653,0.3246492640437338,0.16554491627545595
Kujangsari,0.35969416552293865,0.2881716349453542,0.7350583857786437,0.3561568061168145
Kebonwaru,0.1966801624272618,0.44213362685249,0.9116529469241966,0.17427636734162597
Kacapiring,0.015531497830961463,0.32913902553706803,0.7492456375026881,
Kebon Jayanti,0.2799801593212404,0.8727188087811686,0.6381658935341339,0.18600126234102612
Cicadas,0.18606212320601692,0.6769660992445398,0.4206954079226868,0.36177882930971184
Sukamaju,0.11690970530073953,0.495186299672131,0.8681106933296303,0.20730229085739754
Cikutra,0.28672806899006137,0.6225919133312265,0.8863041605806126,0.13330826158477596
Sukapada,,0.6652014919882905,0.5810677836618509,0.3946549544263369
Cigending,0.17178147128900662,0.652408430694415,0.35794612388089897,
Pasirendah,0.4198229253993504,0.6990249564270312,0.6618950121494137,0.2673323427656619
Cipaganti,0.23346542109232404,0.7507100371673305,0.6716836402103491,0.1161110072861594
Lebak Siliwangi,0.3430824449809528,0.3675988552605779,0.6827207642788689,0.3092222349249947
Tamansari,0.4799059691988199,,0.7957315579513653,0.21014114853929744
Babakan Ciparay,0.01593379144979128,0.6566780098069911,0.43113134767488015,0.14474911827503426
Margahayu Utara,0.35244812387156554,0.7617109797365096,0.5237044636829049,0.09504220122815801
Margasuka,0.6577252418827445,0.7505215947733734,0.878169791749164,
Cirangrang,0.5379363637806488,0.4417562333027455,0.5006429580272593,0.3658785119437904
Sukahaji,0.12275555219550162,0.3929204704843827,0.49455929676013183,0.22847382007368489
Pasteur,0.3162967511292953,0.5418466247504607,0.45202971977199385,0.3490762416445277
Cipedes,0.7182985797189214,0.6616124335995484,0.7447423592405109,0.4794473516157954
Sukabungah,0.20963749394928882,0.8024697759250096,0.5092062230394511,0.11117211415740025
Sukawarna,0.47984139810788023,0.3842192567652801,0.25706081298558126,0.099455159938295
Gegerkalong,0.3009635475833738,0.23106067507124828,0.8488270312549241,0.10118035349555476
Isola,0.21998463055148423,0.38303433764904876,0.5350439213308535,0.16868603456571346
Sukarasa,0.47774106931540994,0.23457745339359423,0.6702103546312005,0.39545928441915423
