iter	Passed	Remaining
0	1	571
1	3	499
2	5	525
3	6	486
4	7	470
5	9	453
6	10	438
7	11	427
8	13	431
9	14	427
10	16	425
11	17	423
12	18	416
13	20	416
14	22	424
15	23	419
16	24	415
17	26	413
18	27	410
19	29	409
20	30	408
21	32	408
22	33	406
23	35	404
24	36	402
25	38	405
26	39	402
27	41	399
28	42	395
29	43	392
30	44	389
31	46	389
32	47	387
33	49	385
34	50	382
35	51	379
36	52	376
37	54	374
38	55	373
39	57	372
40	58	370
41	60	369
42	61	367
43	63	367
44	64	368
45	66	366
46	67	363
47	68	361
48	70	360
49	71	359
50	73	357
51	74	355
52	75	353
53	77	351
54	78	350
55	80	348
56	81	347
57	82	345
58	84	343
59	85	341
60	86	340
61	88	340
62	90	339
63	91	338
64	93	338
65	95	337
66	96	336
67	98	335
68	99	333
69	101	332
70	102	331
71	104	330
72	105	328
73	107	326
74	108	324
75	109	323
76	111	321
77	113	321
78	114	320
79	115	318
80	116	316
81	118	314
82	119	311
83	120	309
84	121	308
85	123	306
86	124	305
87	126	303
88	127	302
89	128	300
90	131	302
91	133	300
92	134	299
93	136	298
94	137	297
95	139	296
96	140	294
97	142	292
98	143	291
99	145	290
100	146	289
101	148	287
102	149	285
103	150	284
104	152	282
105	153	281
106	155	280
107	156	278
108	158	277
109	159	275
110	160	273
111	162	272
112	164	272
113	166	271
114	167	269
115	168	267
116	170	266
117	171	264
118	173	263
119	174	261
120	175	259
121	176	257
122	178	256
123	180	255
124	181	254
125	183	253
126	184	251
127	186	250
128	187	249
129	189	247
130	190	246
131	192	244
132	194	243
133	195	242
134	196	240
135	198	238
136	199	237
137	200	235
138	202	233
139	203	232
140	204	230
141	206	229
142	207	227
143	208	225
144	210	224
145	211	223
146	213	221
147	214	220
148	215	218
149	216	216
150	218	215
151	219	214
152	221	212
153	222	210
154	223	209
155	224	207
156	226	205
157	227	204
158	228	203
159	230	201
160	231	199
161	232	198
162	233	196
163	235	195
164	236	193
165	238	192
166	239	190
167	240	189
168	242	187
169	243	186
170	245	184
171	246	183
172	247	181
173	248	180
174	250	178
175	251	177
176	253	175
177	254	174
178	255	172
179	256	171
180	257	169
181	259	168
182	260	166
183	262	165
184	263	163
185	264	162
186	266	160
187	267	159
188	269	157
189	270	156
190	271	155
191	273	153
192	274	152
193	275	150
194	277	149
195	278	147
196	280	146
197	281	145
198	283	143
199	285	142
200	287	141
201	288	139
202	289	138
203	290	136
204	292	135
205	294	134
206	296	133
207	297	131
208	299	130
209	300	128
210	302	127
211	303	126
212	304	124
213	306	123
214	307	121
215	309	120
216	310	118
217	312	117
218	313	116
219	315	114
220	316	113
221	318	111
222	319	110
223	321	108
224	322	107
225	323	106
226	325	104
227	326	103
228	328	101
229	329	100
230	331	98
231	332	97
232	334	96
233	335	94
234	337	93
235	338	91
236	339	90
237	341	88
238	342	87
239	344	86
240	345	84
241	346	83
242	348	81
243	349	80
244	351	78
245	352	77
246	354	75
247	355	74
248	356	73
249	358	71
250	359	70
251	360	68
252	362	67
253	364	65
254	365	64
255	367	63
256	368	61
257	369	60
258	371	58
259	372	57
260	373	55
261	375	54
262	377	53
263	378	51
264	380	50
265	381	48
266	383	47
267	384	45
268	386	44
269	388	43
270	389	41
271	390	40
272	392	38
273	393	37
274	395	35
275	396	34
276	398	33
277	401	31
278	402	30
279	404	28
280	405	27
281	406	25
282	408	24
283	409	23
284	410	21
285	412	20
286	413	18
287	415	17
288	417	15
289	418	14
290	420	12
291	421	11
292	422	10
293	424	8
294	425	7
295	427	5
296	428	4
297	430	2
298	431	1
299	433	0
