model,strategy,auc_roc,f1_macro,f1_weighted,precision_merah,recall_merah,rmse,train_time_sec
CatBoost,SMOTE,0.9532091097308488,0.8778317152103561,0.8952185001821729,0.8,0.8695652173913043,28.737630371191628,1.995
RandomForest,SMOTE,0.9337474120082816,0.8515727391874182,0.8773055123987744,0.868421052631579,0.717391304347826,23.033280345337218,1.198
LightGBM,SMOTE,0.9322981366459626,0.8717077315208157,0.8926218301102251,0.8571428571428571,0.782608695652174,33.880170340425515,1.352
CatBoost,baseline,0.9293995859213251,0.8466185511895216,0.8720195577553901,0.8292682926829268,0.7391304347826086,31.511097984243246,1.421
RandomForest,balanced,0.9256728778467909,0.7464079119238665,0.80021601341557,0.9130434782608695,0.45652173913043476,26.595708339032708,0.901
XGBoost,balanced,0.9242236024844721,0.8396346644010195,0.8657772876377814,0.8095238095238095,0.7391304347826086,32.324837093386826,1.221
LightGBM,baseline,0.922360248447205,0.8444564922743292,0.871020521004813,0.8461538461538461,0.717391304347826,34.741086378701134,0.705
LightGBM,balanced,0.9198757763975156,0.8515727391874182,0.8773055123987744,0.868421052631579,0.717391304347826,33.37178071394399,0.713
XGBoost,SMOTE,0.9188405797101449,0.8556711979609175,0.8791995588740033,0.8333333333333334,0.7608695652173914,32.2337096035979,1.777
XGBoost,baseline,0.9157349896480331,0.8421631732409088,0.8699356985230224,0.8648648648648649,0.6956521739130435,33.36941478240795,1.129
RandomForest,baseline,0.9012422360248448,0.7582512315270936,0.8089208234104329,0.9166666666666666,0.4782608695652174,27.6803590128117,0.967
GradientBoosting,SMOTE,0.8367494824016563,0.768310147299509,0.8024829017678108,0.6666666666666666,0.6956521739130435,41.457107501197555,2.957
GradientBoosting,baseline,0.7729813664596273,0.6793082524271845,0.7249485629782035,0.54,0.5869565217391305,45.06139011373904,1.671
